Lastnost (Domain);Jezik;Angleska vrednost;Izdelkov;Prevodi iz preglednice;Moj predlog;Tvoj odgovor
Prevladujoča barva SLO;SL;Yellow;4;rumen | rumena;rumena;
Prevladujoča barva SLO;SL;Golden-Black;4;;;
Prevladujoč material SLO;SL;Aluminium-PMMA;4;;Aluminium-PMMA;
Prevladujoč material SLO;SL;Aluminium+PS;4;;Aluminium+PS;
Prevladujoč material SLO;SL;PP-PMMA;4;;PP-PMMA;
Prevladujoč material SLO;SL;PC+PP;3;;PC+PP;
Prevladujoč material SLO;SL;ABS-PS;3;;ABS-PS;
Prevladujoč material SLO;SL;FPCB-PU;3;;FPCB-PU;
Prevladujoč material SLO;SL;Metal+Rattan;3;;;
Prevladujoča barva SLO;SL;Cooper;3;;;
Prevladujoč material SLO;SL;Wooden;3;;;
Prevladujoča barva SLO;SL;Wooden-Black;3;;;
Prevladujoča barva SLO;SL;Milky White;3;mlečno bel | mlečno bela;;
Prevladujoč material SLO;SL;Silicone;3;silikon | silikonska | silikonski;silikon;
Prevladujoča barva SLO;SL;Chocolate;3;chocolate | čokoladna;;
Prevladujoč material SLO;SL;304 SS;3;;;
Dopolnilni material I SLO;SL;Stainless steel;3;nerjaveča kovina | nerjaveče jeklo;nerjaveče jeklo;
Dopolnilni material II SLO;SL;Chrome plated steel;2;;kromirano jeklo;
Dopolnilni material I SLO;SL;Zinc aluminum alloy;2;;cinkova aluminijeva zlitina;
Dopolnilni material III SLO;SL;Flexible stem;2;;;
Način montaže SLO;SL;Bracket + cable with plug;2;;;
Dopolnilna barva II SLO;SL;Graphite;2;grafit | grafitna;grafitna;
Dopolnilni material I SLO;SL;Plastic PC/ABS;2;;plastika PC/ABS;
Uporaba SLO;SL;Stairs;2;;;
Prevladujoča barva SLO;SL;Burgundy;2;;;
Prevladujoč material SLO;SL;Paper rope;2;;;
Prevladujoč material SLO;SL;Plastic PA;2;;;
Prevladujoč material SLO;SL;Chrome plated aluminum;2;;;
Prevladujoča barva SLO;SL;Milky+Glass;2;;;
Prevladujoča barva SLO;SL;Yellow-Green;2;rumeno-zelen | rumeno-zelena;;
Režim nujne osvetlitve SLO;SL;AC-DC Mode;2;;;
Režim nujne osvetlitve SLO;SL;Dual Mode;2;;;
Prevladujoča barva SLO;SL;Black-Silver;2;;;
Prevladujoča barva SLO;SL;Black+Opal;2;;;
Prevladujoča barva SLO;SL;Brushed Silver;2;;;
Prevladujoč material SLO;SL;Aluminium-PVC;2;;Aluminium-PVC;
Prevladujoč material SLO;SL;Aluminium-304SS;2;;;
Prevladujoč material SLO;SL;PP-Copper;2;;;
Prevladujoč material SLO;SL;NON F.PP;2;;;
Prevladujoč material SLO;SL;PA+PP;2;;PA+PP;
Prevladujoč material SLO;SL;PC-Glass;1;;;
Prevladujoč material SLO;SL;Metal+Fabric;1;;;
Prevladujoča barva SLO;SL;Black+Yellow;1;;;
Prevladujoča barva SLO;SL;Black-White;1;;;
Prevladujoča barva SLO;SL;Amber;1;AMBER | jantarna;;
Prevladujoča barva SLO;SL;Amber+Golden;1;;;
Prevladujoča barva SLO;SL;White-Chrome;1;;;
Prevladujoč material SLO;SL;Stainless steel;1;nerjaveča kovina | nerjaveče jeklo;nerjaveče jeklo;
Slog SLO;SL;Boho;1;;;
Način polnjenja SLO;SL;USB-C;1;;;
Način polnjenja SLO;SL;AC/DC;1;;;
Prevladujoč material SLO;SL;ABS-PP;1;;ABS-PP;
Dopolnilna barva II SLO;SL;Yellow;1;rumen | rumena;rumena;
Dopolnilna barva II SLO;SL;Brushed gold;1;;;
Dopolnilna barva II SLO;SL;Gold;1;zlat | zlata | zlato;zlata;
Dopolnilna barva I SLO;SL;Red;1;rdeč | rdeča | rdeče;rdeča;
Dopolnilni material I SLO;SL;Plastic LLDPE;1;;;
Dopolnilni material II SLO;SL;Plastic PP;1;;;
Dopolnilni material II SLO;SL;Szkło;1;;;
Dopolnilni material II SLO;SL;Copper-clad steel;1;;;
Dopolnilni material I SLO;SL;Plastic PP;1;;;
Dopolnilni material I SLO;SL;Plastic PS;1;;;
