main_family;sub_family;izdelkov_v_datoteki;ujetih_v_nasem_katalogu;moj_predlog_svetila_si;moj_predlog_videlektro;tvoj_cilj_ali_POTRJENO
Bulbs & Tubes;LED Tubes;19;18;Svetlobni viri in dodatki > Cevi LED T8;;
Rechargeables;Exit Lamp;18;13;Notranja svetila > Stropna svetila > Ostala svetila;;
Decorative LED;Picture & Mirror Light;18;8;Notranja svetila > Svetila za slike in ogledala;;
Bulbs & Tubes;Globe Bulbs;18;10;Svetlobni viri in dodatki > E27;;
Bulbs & Tubes;Candle Bulbs;17;8;Svetlobni viri in dodatki > E14;;
Decorative LED;Pendant Light Bella;17;17;Notranja svetila > Viseča svetila;;
Decorative LED;Pendant Light Blade;16;16;Notranja svetila > Viseča svetila;;
Others;Adhesive Tape;16;0;;Inštalacije > Priključni in pritrdilni material > Izolirni trakovi;
Decorative LED;LED Wall Light;15;14;Notranja svetila > Stenska svetila;;
Decorative LED;LED Desk Lamp;14;11;Notranja svetila > Namizna svetila;;
Bulbs & Tubes;MR16 Modul;13;1;Svetlobni viri in dodatki > GU5.3;;
Bulbs & Tubes;Capsule Bulbs;12;8;Svetlobni viri in dodatki > G9;;
Solar Lighting;Solar Floodlight;12;4;Zunanja svetila > LED reflektorji;;
Track Lighting;LED Tracklight;11;0;Tračni sistemi;;
Indoor Lighting;Accessories;11;4;Notranja svetila > Dodatki;;
Decorative CLS;Floor;11;0;;Razsvetljava > Luči > Stoječe luči;
Outdoor Lighting;Led Wall Washer;11;0;Zunanja svetila > Stenska svetila;;
Indoor Lighting;Ceiling Fan;11;2;;Inštalacije > Ventilatorji;
Decorative LED;Ceiling Light Nela;10;6;Notranja svetila > Stropna svetila;;
Decorative LED;Ceiling Light Bella;10;10;Notranja svetila > Stropna svetila;;
Decorative CLS;Glass CRY;10;10;;;
Decorative CLS;Wooden;10;0;;;
Electrical;Plug;10;8;;Inštalacije > Vtikači in vtičnice;
Decorative LED;Pendant Light Lina;9;9;Notranja svetila > Viseča svetila;;
Outdoor Lighting;Ceiling Light;9;7;Zunanja svetila > Stropna svetila;;
Others;Sensor;8;5;;Razsvetljava > Senzorji gibanja > Senzorji;
Solar Lighting;Solar Street Light;8;0;Zunanja svetila > Ulična svetila;;
Outdoor Lighting;Spike Light;7;4;Zunanja svetila > Pohodne svetilke;;
Outdoor Lighting;E27 Bollard;7;7;Zunanja svetila > Stoječa svetila;;
Others;Controller;7;3;;Razsvetljava > LED trakovi in profili > Kontrolerji in zatemnilniki;
Electrical;Connector;7;1;;Inštalacije > Kabli in vodniki > Kabelski končniki in spojke;
LED Strip;220V LED Neon;7;0;;Razsvetljava > LED trakovi in profili > LED trakovi;
Decorative LED;Ceiling Light Crystal;7;0;Notranja svetila > Stropna svetila > Lestenci;;
Outdoor Lighting;LED Bollard;7;3;Zunanja svetila > Stoječa svetila;;
Outdoor Lighting;LED Worklight;6;4;Zunanja svetila > Prenosna svetila;;
Others;Emergency Kit;6;3;;Razsvetljava > Luči > Zasilna razsvetljava;
Bulbs & Tubes;G45 Bulbs;6;0;Svetlobni viri in dodatki > E14;;
Indoor Lighting;GU10 Tracklight;6;6;Tračni sistemi;;
Decorative CLS;Rattan;6;0;;;
Solar Lighting;Solar Wall Light;5;5;Zunanja svetila > Stenska svetila;;
LED Strip;Led Module;4;4;;Razsvetljava > LED trakovi in profili > LED trakovi;
Others;Socket;4;1;;Inštalacije > Vtikači in vtičnice;
Bulbs & Tubes;R Bulbs;4;4;Svetlobni viri in dodatki > E27;;
Solar Lighting;Solar Spike Light;4;3;Zunanja svetila > Pohodne svetilke;;
Decorative LED;Linear Light Lina;3;3;Notranja svetila > Stropna svetila > Linijska svetila;;
Rechargeables;LED Rechargeable;3;2;Zunanja svetila > Prenosna svetila;;
Indoor Lighting;Sensor Fixtures;3;3;Notranja svetila > Stropna svetila > Ostala svetila;;
Indoor Lighting;GU10 Pendant Spotlight;3;3;Notranja svetila > Viseča svetila;;
Decorative LED;Pendant Light Arcana;3;0;Notranja svetila > Viseča svetila;;
Outdoor Lighting;Underground Light;2;2;Zunanja svetila > Talna svetila;;
Decorative LED;Pendant Light Nela;2;2;Notranja svetila > Viseča svetila;;
Others;Hanging Kit;2;2;;Razsvetljava > Luči > Dodatki;
Rechargeables;LED Torch;1;0;Zunanja svetila > Prenosna svetila;;
;;1;0;;;
Indoor Lighting;LED Floor Lamp;1;0;Notranja svetila > Stoječa svetila;;
